"","CODMUNRES","NIVEL","ANO","POPRE_T","POPRC_T","POPRC_M","POPRC_F","POPRC_15","POPRC_15_49","POPRC_50","POPRC_F_15","POPRC_F_15_49","POPRC_F_50"
"1",16,"UF",2015,"766679",669526,335135,334391,221860,373907,73759,109209,188252,36930
"2",1600055,"MUNICIPIO",2015,"4938",4380,2333,2047,4380,4380,4380,754,1078,1078
"3",1600105,"MUNICIPIO",2015,"8622",8069,4211,3858,8069,8069,8069,1433,1960,1960
"4",1600154,"MUNICIPIO",2015,"13988",10772,5866,4906,10772,10772,10772,1949,2532,2532
"5",1600204,"MUNICIPIO",2015,"10163",9000,4821,4179,9000,9000,9000,1640,2114,2114
"6",1600212,"MUNICIPIO",2015,"5407",4696,2424,2272,4696,4696,4696,937,1126,1126
"7",1600238,"MUNICIPIO",2015,"6901",5802,3046,2756,5802,5802,5802,1080,1359,1359
"8",1600253,"MUNICIPIO",2015,"4949",4265,2320,1945,4265,4265,4265,792,946,946
"9",1600279,"MUNICIPIO",2015,"45712",39942,20434,19508,39942,39942,39942,7024,10704,10704
"10",1600303,"MUNICIPIO",2015,"456171",398204,195613,202591,398204,398204,398204,61372,117759,117759
"11",1600402,"MUNICIPIO",2015,"19571",17032,8974,8058,17032,17032,17032,3437,3778,3778
"12",1600501,"MUNICIPIO",2015,"24263",20509,10704,9805,20509,20509,20509,3605,5446,5446
"13",1600535,"MUNICIPIO",2015,"19669",16809,8872,7937,16809,16809,16809,3012,4162,4162
"14",1600550,"MUNICIPIO",2015,"4531",3793,1997,1796,3793,3793,3793,792,844,844
"15",1600600,"MUNICIPIO",2015,"112218",101262,50414,50848,101262,101262,101262,16523,28587,28587
"16",1600709,"MUNICIPIO",2015,"15212",12563,6679,5884,12563,12563,12563,2514,2733,2733
"17",1600808,"MUNICIPIO",2015,"14364",12428,6427,6001,12428,12428,12428,2345,3124,3124
