"","ANO","NIVEL","CODMUNRES","TN","TNRC","TNRCR","TGI_15","TGI_15_19","TGI_20_24","TGI_25_29","TGI_30_34","TGI_35_39","TGI_40_44","TGI_45_49","TGI_50","TGIF","IM_P25","IM_P50","IM_P75","IM_MD","IM_DP","EM_S","EM_FI","EM_FII","EM_M","EM_SI","EM_SC","TGRC_B","TGRC_PT","TGRC_A","TGRC_PD","TGRC_I","TGCC","TGSC","TGPRI","TGNPRI","TGU","TGG","TGD_22","TGD_22_27","TGD_28_31","TGD_32_36","TGD_37_41","TGD_42","TGD_PRT","TGD_AT","TGD_PST","DG_P25","DG_P50","DG_P75","DG_MD","DG_DP","TKC_NR","TKC_ID","TKC_IT","TKC_AD","TKC_MAD","TGPRG_S","TGPRG_N","TPV","TPC","TRAP_C","TRAP_P","TRAP_T","TGROB_1","TGROB_2","TGROB_3","TGROB_4","TGROB_5","TGROB_6","TGROB_7","TGROB_8","TGROB_9","TGROB_10","TNLOC_H","TNLOC_ES","TNLOC_D","TNLOC_O","TNLOC_AI","TRS_M","TRS_F","TRRC_B","TRRC_PT","TRRC_A","TRRC_PD","TRRC_I","TRP_BP","TRP_N","TRP_M","PESO_P25","PESO_P50","PESO_P75","PESO_MD","PESO_DP","TRPIG_P","TRPIG_A","TRPIG_G","TRAPG5_B","TRAPG5_N","APG5_MD","APG5_DP","TRAC","TRSAC"
"1",2015,"UF",16,15750,0,13562,247,3766,4254,3428,2467,1237,322,22,2,15496,19,24,30,24.92,6.73,167,1269,4567,7155,923,1524,1686,815,11,12658,248,7829,7921,5473,10277,232,15518,18,83,146,1692,11766,739,1939,11766,2045,NA,NA,NA,NA,NA,301,5708,2245,1667,4485,13071,2679,10263,5474,15217,331,25,2227,1910,3720,2290,1940,101,180,210,25,1731,14975,231,358,49,132,7981,7768,1690,816,11,12667,250,1252,921,13514,NA,NA,NA,NA,NA,1004,11216,1690,197,15111,NA,NA,82,15470
"2",2015,"MUNICIPIO",160000,3,0,3,0,1,1,0,0,1,0,0,0,3,19,21,28.5,24.6666666666667,10.0166528008778,0,0,1,2,0,0,1,0,0,2,0,1,2,0,3,0,3,0,0,0,2,1,0,2,1,0,34.5,36,37,35.6666666666667,2.51661147842358,0,1,0,0,2,0,3,2,1,3,0,0,0,0,0,0,1,0,0,0,0,2,3,0,0,0,0,1,2,1,0,0,2,0,2,0,1,2047.5,2455,2965,2523.33333333333,919.406511469945,1,2,0,0,3,9.33333333333333,0.577350269189626,0,3
"3",2015,"MUNICIPIO",160005,63,0,55,1,18,17,18,6,3,0,0,0,62,18,23,28,23.8095238095238,5.73291892904519,0,3,15,39,2,3,6,4,0,52,0,41,22,20,43,0,63,0,0,1,2,50,5,3,50,10,38,39,40,38.9473684210526,2.0037558718529,0,12,5,10,32,11,52,44,19,60,1,1,9,7,18,8,11,0,1,0,1,2,59,1,1,2,0,34,29,6,4,0,53,0,4,5,54,3025,3250,3585,3237.71428571429,586.726523880491,3,47,7,2,59,9.21311475409836,1.45045687168286,0,62
"4",2015,"MUNICIPIO",160010,161,0,136,6,51,33,36,21,7,6,1,0,155,18,23,28,24,7.29211903358688,1,13,66,74,3,2,21,11,0,120,0,86,75,50,111,0,161,0,0,3,9,137,6,12,137,12,38,39,40,39.0064516129032,2.23460613977412,6,76,15,10,44,101,60,140,21,158,3,0,27,18,60,26,9,0,3,0,0,12,60,98,1,2,0,95,66,21,11,0,120,0,5,10,146,2990,3260,3500,3265.74534161491,440.379754863673,11,120,20,3,150,9.61437908496732,1.23076881731093,0,151
"5",2015,"MUNICIPIO",160015,244,0,183,3,56,71,61,25,24,4,0,0,241,20,24,29,24.7827868852459,6.65105818027163,11,56,63,88,2,4,14,11,0,144,58,88,156,55,189,0,244,0,3,3,29,190,14,35,190,19,38,39,40,38.6371681415929,2.758621062625,2,93,30,28,67,78,166,174,70,228,3,0,25,18,85,24,38,0,3,0,0,33,195,1,2,2,44,117,127,18,12,0,152,58,31,14,199,2750,3102.5,3481.25,3073.39344262295,642.273015515117,33,162,25,4,201,9.51707317073171,0.931976194423838,2,240
"6",2015,"MUNICIPIO",160020,198,0,172,2,55,51,38,34,15,3,0,0,196,19,23,30,24.5606060606061,6.63966420442911,1,17,81,88,3,7,6,17,0,159,0,132,66,52,146,0,198,0,0,1,27,155,15,28,155,15,38,39,40,38.8989898989899,2.30204036399471,2,69,30,42,44,130,68,168,30,193,5,0,23,24,64,40,15,0,5,0,0,27,178,6,14,0,0,93,105,6,17,0,159,0,18,14,166,2850,3187.5,3480,3163.23737373737,561.787962616939,27,142,23,2,192,9.76288659793815,0.924880004834557,1,183
"7",2015,"MUNICIPIO",160021,85,0,78,2,21,30,15,11,2,4,0,0,83,19,22,27,23.8588235294118,6.78084301047983,3,11,29,38,2,2,7,4,1,69,0,30,55,25,60,1,84,0,0,0,13,68,3,13,68,4,37,39,40,38.5595238095238,2.00211448751389,4,34,20,8,14,22,63,74,11,84,1,0,7,12,35,12,4,0,1,1,0,12,62,3,17,3,0,51,34,7,4,1,69,0,6,5,74,2955,3100,3475,3173.47058823529,518.943743814007,6,68,8,1,83,9.64285714285714,0.722159698368972,1,84
"8",2015,"MUNICIPIO",160023,192,0,165,7,71,44,39,19,6,6,0,0,185,17,22,27,22.8541666666667,6.53140486906912,2,14,78,89,2,3,18,17,0,148,0,76,116,65,127,7,185,0,1,3,18,155,4,22,155,15,38,39,40,38.524861878453,2.37245550426248,4,79,21,16,59,32,160,144,47,188,3,0,29,25,49,31,20,0,3,6,0,18,161,24,6,1,0,86,106,18,17,0,148,0,19,15,158,2843.75,3202.5,3600,3179.5625,617.431570916485,13,139,23,3,187,9.70526315789474,0.979943678443405,0,189
"9",2015,"MUNICIPIO",160025,109,0,87,2,27,39,22,12,5,2,0,0,107,19,22,28,23.7247706422018,6.46195641690231,6,14,54,31,2,2,8,11,0,87,0,37,72,31,78,0,109,0,0,1,13,84,5,14,84,11,38,39,40,38.5533980582524,2.3793562951378,5,47,19,11,20,23,86,92,17,107,2,0,11,11,43,17,5,0,2,0,0,14,82,7,15,5,0,50,59,8,11,0,87,0,9,7,92,3000,3230,3500,3216.77777777778,499.571242958677,5,83,11,0,91,9.89010989010989,0.378610014851091,1,108
"10",2015,"MUNICIPIO",160027,923,0,918,14,258,263,195,140,42,10,1,0,909,19,23,29,23.9869989165764,6.27271092686537,6,87,325,458,18,28,10,3,0,907,3,714,209,304,619,14,909,1,7,12,130,720,51,150,720,53,38,39,40,38.3887079261672,2.76248992963581,1,434,100,83,286,887,36,602,321,890,30,2,124,127,210,156,125,7,16,13,2,141,921,1,1,0,0,479,444,10,3,0,907,3,84,44,795,2884,3192,3503,3153.4593716143,572.428810591937,66,699,115,19,904,9.27302275189599,1.08389825632643,9,893
